COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,LONGITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
USA,BURMA,MANWEIN,24.08333333,97.06666667,10/11/1944,TOWN,
USA,PHILIPPINE ISLANDS,BONTOC,17.08333333,121,3/20/1945,SUPPLY BUILDING,
USA,BURMA,MANYWET,25.31666667,96.86666667,2/13/1944,ROAD AND RAIL JUNCTI,
USA,JAPAN,OSAKA,34.68333333,135.5333333,5/16/1945,URBAN AREA,
USA,CELEBES ISLANDS,GORONTALO,0.516666667,123.05,9/16/1944,WAREHOUSES,
USA,BURMA,NAMTI,27.33333333,97.66666667,3/13/1944,UNIDENTIFIED TARGET,
USA,JAVA,BAUCAU VILLAGE,-8.466666667,126.45,12/7/1944,AREA,
USA,BURMA,SHWEBO,22.58333333,95.66666667,7/4/1943,RAILROAD YARDS,
NEW ZEALAND,NEW IRELAND,NEW IRELAND SWEEP,-2.733333333,150.85,12/17/1944,VARIOUS TARGETS,
USA,PHILIPPINE ISLANDS,SANTA FE,11.166667,123.783333,5/20/1945,TROOPS,
USA,NEW GUINEA,LAE A/D,-6.74143,146.989626,8/31/1942,AIRFIELD,
USA,BURMA,LOILAW,25.26666667,96.91666667,1/9/1944,BRIDGE,
USA,CHINA,RAKLI BAY,19.13333333,108.7166667,4/14/1945,DOCKS,
USA,PHILIPPINE ISLANDS,DAVAO GULF,7.083333333,125.6666667,10/20/1944,PERSONNEL CONCENTRAT,
USA,SUMATRA,BALAM,-1.3,102.4666667,5/10/1944,STORES,
USA,PHILIPPINE ISLANDS,ANGAT RIVER,14.91666667,121,5/29/1945,UNIDENTIFIED TARGET,
USA,BURMA,MANDALAY,21.98333333,96.08333333,5/12/1943,MARSHALLING YARDS,
USA,BURMA,PYINDAW,25.28333333,96.81666667,2/11/1944,UNIDENTIFIELD TARGET,
USA,PHILIPPINE ISLANDS,CAMALIG,13.16666667,123.6666667,4/10/1945,HILL,
USA,BURMA,ELA,19.61666667,96.23333333,1/30/1945,R R BRIDGE,
GREAT BRITAIN,GREECE,VERONA W M/Y,45.43,11,2/8/1945,,
USA,CELEBES ISLANDS,MOLUKKA SEA,2.2,125.5166667,11/18/1944,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,CATABLINGAN,14.768636,121.623595,5/5/1945,UNIDENTIFIED TARGET,
USA,BURMA,KAMAING,25.53333333,96.71666667,12/18/1943,ROAD,
USA,BURMA,NAMYAO,22.9,97.6,1/10/1945,SUPPLIES PERSONNEL,
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,3/14/1944,JAP POSITIONS,
USA,JAPAN,OSAKA,34.66666667,135.5,1/24/1945,GAS CO,
USA,CHINA,KAIFENG,34.8,114.35,6/13/1945,RAILROAD YARDS,
USA,BURMA,AUCHE,25.71666667,96.85,4/18/1944,UNIDENTIFIED TARGET,
USA,TUNISIA,ARRAM ROADS AND MT,33.59,10.31,2/25/1943,,800
USA,CAROLINE ISLANDS,TRUK ISLAND,7.5,151.8333333,6/20/1944,UNIDENTIFIED TARGET,
USA,JAPAN,31 12 N 130 3,31.2,130.5666667,8/8/1945,TOWN,
USA,CAROLINE ISLANDS,TRUK ISLAND,7.5,151.8333333,5/6/1944,AIRFIELD,
USA,PHILIPPINE ISLANDS,TUGUEGARAO,17.66666667,121.75,5/8/1945,PERSONNEL,
USA,WAKE ISLAND,WAKE ISLAND,19.28333333,166.5833333,5/31/1944,GUN EMPLACEMENTS,
USA,MARSHALL ISLANDS,MILLE ATOLL,6.166666667,171.9166667,2/12/1944,UNIDENTIFIED TARGET,
USA,BURMA,HSENWI,23.3,97.96666667,5/10/1944,BRIDGE,
USA,PHILIPPINE ISLANDS,CEBU ISLAND,9.583333333,123.3333333,5/19/1945,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,IPIL,16.7,121.6333333,4/27/1945,TROOPS,
USA,BURMA,NAMTI,27.33333333,97.66666667,4/17/1943,UNIDENTIFIED TARGET,
USA,BURMA,AKYAB,20.15,92.9,11/5/1943,SLR BLDG TELEGRAPH,
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,7/4/1944,UNIDENTIFIED TARGET,
USA,CHINA,CHUANGSIEN,25.7,111.1,7/29/1945,BRIDGE,
USA,NEW GUINEA,MAFFIN BAY,-2,138.8333333,5/7/1944,ANTI AIRCRAFT BATTER,
USA,JAPAN MINING,FUSHIKI N,36.8,137.0666667,7/9/1945,HARBOR AREA,
USA,SOLOMON ISLANDS,KIRINANI,-6.683333333,155.4833333,3/3/1944,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,TANAUAN,14.08333333,121.1666667,1/19/1945,MOTOR TRANSPORT,
USA,BISMARK ARCHIPELAGO,TALASEA PT,-5.483333333,149.65,2/16/1945,UNIDENTIFIED TARGET,
USA,FORMOSA AND RYUKYU ISLANDS,TAICHU,24.13333333,120.6666667,4/17/1945,AIR PLANES,
USA,NEW GUINEA,KAMIRIK,-0.95,134.8,6/21/1944,AIRDROME,
GREAT BRITAIN,BURMA,AKYAB AIRFIELD,20.132708,92.872628,5/22/1942,AIRFIELD,
USA,PHILIPPINE ISLANDS,LIBBY,7.05,125.5333333,11/19/1944,AIRDROME,
USA,CHINA,LONGCHOW,22.36666667,106.9333333,12/22/1944,TOWN CENTER,
USA,NEW GUINEA,KAIRIRU,-3.333333333,143.5833333,6/18/1945,CAMP AREA,
USA,NEW GUINEA,OAGUA,-3.416666667,143.3333333,5/14/1944,VILLAGE,
USA,BURMA,MANYWET,25.31666667,96.86666667,2/19/1944,SUPPLY DUMP,
USA,NEW GUINEA,BAGEISERWAR,-1.916666667,138.8333333,7/11/1944,BIVOVAC AREA,
USA,BORNEO,6 13 N 115 0,6.216666667,115.05,7/4/1945,PERSONNEL AREA,
USA,PHILIPPINE ISLANDS,CORREGIDOR,14.41666667,120.5833333,2/14/1945,DOCK,
USA,FORMOSA AND RYUKYU ISLANDS,22 35 N 120 1,22.58333333,120.25,5/18/1945,SUGAR REFINERY,
USA,BISMARK ARCHIPELAGO,MOMOTE,-2.083333333,147.4166667,2/26/1944,SUPPLIES,
USA,SOLOMON ISLANDS,ROTA,-6.416666667,155.3333333,8/18/1944,CONTROL TOWER REVT A,
USA,PHILIPPINE ISLANDS,SARANGANI BAY,6.083333333,125.1666667,1/18/1944,UNIDENTIFIED TARGET,
USA,BISMARK ARCHIPELAGO,CAPE GLOUCESTER,-5.416666667,148.4166667,8/13/1943,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,ZAMBOANGA,6.916666667,122.1666667,3/9/1945,UNIDENTIFIED TARGET,
USA,BORNEO,MAHAKAM RIVER,-0.45,117.0333333,7/18/1945,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,MARIVELES,14.41666667,120.5,2/10/1945,PERSONNEL,
USA,JAPAN,OITA,33.23333333,131.6,5/17/1945,URBAN AREA,
USA,FORMOSA AND RYUKYU ISLANDS,TAIHOKU,25.03333333,121.5,5/8/1945,GOVERMENT CENTER,
USA,CHINA,SINSHIH,30.6,120.25,7/25/1944,UNIDENTIFIED TARGET,
USA,SOLOMON ISLANDS,BUKA,-5.416666667,154.7,6/13/1944,AIRDROME,
USA,BISMARK ARCHIPELAGO,DAGI RIVER,-5.666666667,150.25,11/2/1943,UNIDENTIFIED TARGET,
USA,VOLCANO AND BONIN ISLANDS,IWO JIMA,24.78333333,141.3166667,11/19/1944,UNIDENTIFIED TARGET,
USA,CELEBES ISLANDS,PALOPO,-3,120.25,10/25/1944,LUMBER MILL,
USA,NEW GUINEA,CAPE AWOERA,-4,134.5,9/2/1944,UNIDENTIFIED,
AUSTRALIA,NEW GUINEA,BUNA AIRFIELD,-8.682686,148.423689,8/28/1942,AIRFIELD,
USA,BURMA,HAINANG,21.03333333,97.51666667,5/22/1945,TROOP CONCENTRATION,
USA,KURILE ISLANDS,SURIBACHI,50.2,155.7333333,12/6/1944,UNIDENTIFIED TARGET,
