COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,LONGITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
GREAT BRITAIN,BELGIUM,ZEEBRUGGE,51.32,3.2,9/22/1940,DOCKS CANALS BARGES,PORTS AND HARBORS
USA,FRANCE,UNKNOWN,,,4/27/1944,V WEAPON LAUNCHING SIT,V - WEAPON LAUNCHING SITES
GREAT BRITAIN,GERMANY,COLOGNE,50.93,6.95,7/10/1941,SUB DIESEL ENG WKS,SUBMARINE PENS AND YARDS
GREAT BRITAIN,GERMANY,WANNE EICKEL,51.52,7.17,11/23/1940,SYN OIL KRUPP TRBSTFWR,SYNTHETIC OIL REFINERIES
USA,GERMANY,MUNICH,48.13,11.58,6/9/1944,MARSHALLING YARD,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,GERMANY,ANKLAM,53.87,13.7,8/4/1944,ARADO AC COMP PLANT,A/C COMPONENT PLANTS
GREAT BRITAIN,GERMANY,HEIMBACH,50.63,6.47,12/11/1944,URFT RIVER DAMS,WATERWAYS AND BOATS
GREAT BRITAIN,HOLLAND OR NETHERLANDS,ROTTERDAM,51.92,4.47,8/26/1940,AERODROME,AIR FIELDS AND AIRDROMES
GREAT BRITAIN,NORWAY,OSLO,59.97,11.05,12/13/1944,SHIPBUILDING REPAIR YA,SHIP BUILDING
GREAT BRITAIN,GERMANY,DUSSELDORF,51.22,6.78,2/25/1943,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,ITALY,44 40 N 010 20 E,44.67,10.33,4/2/1945,MOTOR TRANSPORT,HIGHWAYS AND VEHICLES
USA,YUGOSLAVIA,45 40 N 015 40 E,45.67,15.67,11/1/1944,RAILROAD BRIDGE,BRIDGES
USA,AUSTRIA,JUDENBURG,47.17,14.67,3/20/1945,MARSHALLING YARDS,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
GREAT BRITAIN,GERMANY,EMDEN,53.38,7.22,3/3/1942,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,BELGIUM,ANTWERP,51.22,4.42,12/23/1940,DOCKS BARGES SHIPPING,PORTS AND HARBORS
USA,TUNISIA,36 40 N 010 40 E,36.67,10.67,5/8/1943,G P,GUN EMPLACEMENTS
GREAT BRITAIN,GERMANY,COLOGNE,50.93,6.95,5/27/1941,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,GERMANY,HULS,51.68,7.13,3/4/1945,MARSHALLING YARD,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,ITALY,ANCONA,43.62,13.52,1/23/1944,OVERPASS,BRIDGES
GREAT BRITAIN,FRANCE,LE TROUQUET,50.53,1.6,11/1/1940,AIRDROME,AIR FIELDS AND AIRDROMES
USA,GERMANY,ARNHEM,52.62,11.98,10/7/1944,RR BRIDGE,BRIDGES
USA,CZECHOSLOVAKIA,PILSEN,49.75,13.37,10/23/1944,SKODA ARMS WORKS,ARMAMENT AND ORDNANCE PLANTS
GREAT BRITAIN,GERMANY,MUNICH,48.13,11.58,4/17/1943,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,ITALY,FICULLE,42.83,12.07,6/10/1944,R R BRIDGE,BRIDGES
GREAT BRITAIN,GERMANY,HAMBURG,53.55,10,8/5/1940,SUB PENS,SUBMARINE PENS AND YARDS
GREAT BRITAIN,HOLLAND OR NETHERLANDS,DEN HELDER,52.97,4.77,4/27/1941,DE KOOY AIRDROME,AIR FIELDS AND AIRDROMES
USA,ITALY,RIMINI,44.05,12.57,3/26/1944,RAILROAD,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
USA,GERMANY,FRIEDRICHSHAFEN,47.65,9.5,3/16/1944,MAYBACH ENGINE WKS,TANK FACTORIES
GREAT BRITAIN,GERMANY,HOLTENAU,54.38,10.17,10/23/1941,TOWN AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,CUXHAVEN,53.88,8.7,5/15/1941,PORT AREA,PORTS AND HARBORS
USA,GERMANY,HALBERSTADT,51.88,11.05,5/30/1944,JUNKERS AC COMPONENT F,A/C COMPONENT PLANTS
GREAT BRITAIN,FRANCE,DUNKERQUE,51.03,2.37,5/9/1941,HARBOR,PORTS AND HARBORS
GREAT BRITAIN,GERMANY,DUSSELDORF,51.22,6.78,3/2/1941,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,MANNHEIM,49.48,8.47,11/27/1944,CITY AREA,CITIES TOWNS AND URBAN AREAS
GREAT BRITAIN,GERMANY,ESSEN,51.43,7,8/16/1941,BUILDINGS,CITIES TOWNS AND URBAN AREAS
USA,ITALY,46 40 N 012 20 E,46.67,12.33,2/22/1945,HIGHWAY BRIDGE,BRIDGES
USA,ITALY,SALERNO,40.67,14.73,6/21/1943,MARSHALLING YARD,"""RR INSTALLATIONS",  TRACKS,  MARSHALLING YARDS,"  AND STATIONS"""
GREAT BRITAIN,GERMANY,EMDEN,53.38,7.22,1/15/1941,CITY AREA,CITIES TOWNS AND URBAN AREAS
USA,GERMANY,FRIEDRICHSHAFEN,47.65,9.5,3/18/1944,AC FACTORY,AIRCRAFT FACTORIES AND ASSEMBLY PLANTS
USA,ITALY,ORTE,42.47,12.4,4/7/1944,ROAD BRIDGE,BRIDGES
