COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
USA,PHILIPPINE ISLANDS,IPO,14.83333333,121.1666667,6/1/1945,121.1666667,311 FS
USA,CHINA,SOUTH CHINA SEA,15,115,7/29/1944,115,308 BG
USA,CHINA,HSINSIASSUCHI,26,117,4/27/1945,117,528 FS
USA,BURMA,BHAMO,24.25,97.23333333,11/19/1944,97.23333333,89 FS
USA,PHILIPPINE ISLANDS,BALETE PASS,16.08333333,120.9166667,6/2/1945,120.9166667,387 S
USA,JAPAN,MITO,36.36666667,140.4666667,3/9/1945,140.4666667,498 BG
NEW ZEALAND,BISMARK ARCHIPELAGO,LAKUNAI,-4.233333333,152.2166667,5/5/1944,152.2166667,NO. 17 SQUADRON RNZAF
USA,PHILIPPINE ISLANDS,TUGUEGARAO,17.66666667,121.75,3/20/1945,121.75,433 FS
USA,SOLOMON ISLANDS,MUGUAI,-6.7,155.8166667,6/11/1944,155.8166667,68 FS
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,7/4/1944,143.6666667,69 FS
USA,PHILIPPINE ISLANDS,DABGANOB,18.25,121.75,6/11/1945,121.75,4 FS
USA,JAPAN,TOKYO,35.66666667,139.7,2/13/1945,139.7,888
USA,CELEBES ISLANDS,LOLOBATA,1.25,128.1166667,10/23/1944,128.1166667,82 FS
USA,SOLOMON ISLANDS,MAMAGATA,-6.783333333,155.4333333,4/28/1944,155.4333333,13 C
USA,SOLOMON ISLANDS,BOHANO ISLAND,-5.533333333,154.7166667,6/5/1944,154.7166667,68 FS
USA,CELEBES ISLANDS,NAMLEA,-3.266666667,127.1,9/10/1944,127.1,498 BS
USA,BORNEO,BALIK PAPAN,-1.25,116.8333333,12/30/1945,116.8333333,530 BS
USA,BISMARK ARCHIPELAGO,LAE,-6.75,147,12/22/1943,147,319 BS
USA,CELEBES ISLANDS,ALMAHERA,1,128,10/12/1944,128,36 FS
USA,BISMARK ARCHIPELAGO,KAVIENG,-2.583333333,150.8333333,4/11/1944,150.8333333,868 BS
USA,CELEBES ISLANDS,SIDATE,1.2,124.4333333,9/12/1944,124.4333333,321 BS
USA,CHINA,HSUCHANG,34,113.7833333,7/26/1945,113.7833333,426 D
USA,PHILIPPINE ISLANDS,LYANG,14.88333333,121.1333333,4/9/1945,121.1333333,460 FS
USA,BURMA,MOHNYIN,24.78333333,96.36666667,8/23/1944,96.36666667,528 FS
USA,CHINA,HENGYANG,26.93333333,112.5833333,8/10/1944,112.5833333,75 FS
USA,NEW GUINEA,BABO,-2.583333333,133.4166667,5/22/1944,133.4166667,8 S
USA,JAPAN,SHIMIZU,33.3,132.7,6/21/1945,132.7,73 BW
USA,CHINA,HWAIYUAN,32.93333333,117.2166667,12/21/1944,117.2166667,76 FS
USA,PHILIPPINE ISLANDS,SAN FERNANDO,16.633333,120.3,2/3/1945,120.3,70 FS
USA,NEW GUINEA,BUT,-3.416666667,143.25,7/24/1944,143.25,673 S
USA,BURMA,LOILEM,20.91666667,97.56666667,3/24/1945,97.56666667,89 FS
USA,BISMARK ARCHIPELAGO,BORGEN BAY,-5.483333333,148.5333333,6/19/1943,148.5333333,500 BS
USA,CHINA,ISHAN,24.55,108.6333333,11/17/1944,108.6333333,16 FS
USA,PALAU ISLANDS,KOROR ISLAND,7.333333333,134.5,8/31/1944,134.5,370 BS
USA,KURILE ISLANDS,KASHIWABARA,50.7,156.1333333,12/29/1944,156.1333333,404 BS
USA,PHILIPPINE ISLANDS,FLORIDA BLANCA,15,120.5,1/23/1945,120.5,500 BS
USA,MARCUS ISLANDS,MARCUS ISLAND,24.2,153.75,4/9/1945,153.75,431 BS
USA,PHILIPPINE ISLANDS,BAGABAG,16.58333333,121.25,4/17/1945,121.25,432 FS
USA,BURMA,PYAWBWE,20.66666667,96.08333333,8/24/1943,96.08333333,9 BS
USA,CELEBES ISLANDS,AMBON,-3.700432,128.17547,3/18/1943,128.17547,319 BS
USA,VOLCANO AND BONIN ISLANDS,OKIMURA,26.63333333,142.15,2/13/1945,142.15,38 BS
USA,NEW GUINEA,CAPE CRETIN,-6.666666667,147.8333333,12/19/1943,147.8333333,408 BS
USA,NEW GUINEA,MANOKWARI,-0.833333333,134.0833333,5/21/1944,134.0833333,8 S
USA,CELEBES ISLANDS,LAHA,-3.7,128.1333333,10/3/1944,128.1333333,408 BS
USA,CELEBES ISLANDS,LAHA,-3.7,128.1333333,10/2/1944,128.1333333,408 BS
USA,ITALY,CEPRANO,41.55,13.53,2/28/1944,13.53,27 FBG/86 FBG
USA,BISMARK ARCHIPELAGO,RATAVAL,-4.183333333,152.15,3/28/1944,152.15,13 C
USA,PHILIPPINE ISLANDS,TUPANG,17.91666667,121.6333333,6/6/1945,121.6333333,8 FS
USA,JAPAN,NAGASAKI,32.73333333,120.9666667,7/31/1945,120.9666667,431 BS
USA,PHILIPPINE ISLANDS,PADADA,6.666666667,125.3333333,1/1/1945,125.3333333,400 BS
USA,BISMARK ARCHIPELAGO,NEW IRELAND,-2.733333333,150.85,5/1/1944,150.85,390 BS
USA,CELEBES ISLANDS,TOMOHON,1.316666667,124.8166667,9/10/1944,124.8166667,319 BS
USA,JAPAN,MIYAKONOJO,31.73333333,131.0666667,8/6/1945,131.0666667,822 BS
USA,PHILIPPINE ISLANDS,CEBU,10.321389,123.754722,11/6/1944,123.754722,320 BS
USA,FORMOSA AND RYUKYU ISLANDS,FORMOSA,24,121,5/20/1945,121,405 BS
USA,BURMA,NINGBYEN,26.66666667,96.5,12/2/1943,96.5,88 FS
USA,SOLOMON ISLANDS,KAHILI,-6.8,155.7833333,9/3/1943,155.7833333,372 BS
USA,PHILIPPINE ISLANDS,SANTA FE,11.166667,123.783333,6/3/1945,123.783333,433 FS
USA,CHINA,HENGYANG,26.93333333,112.5833333,8/20/1944,112.5833333,75 FS
USA,BURMA,MONYWA,22.11666667,95.13333333,8/19/1944,95.13333333,82 BS
GREAT BRITAIN,SYRIA,TRIPOLI (TARDBULUS),31.43,35.83,7/11/1941,35.83,11 SQDN
USA,BURMA,MEZA,24.15,96.03333333,11/28/1944,96.03333333,60 FS
USA,PHILIPPINE ISLANDS,ORO,10.25,123.75,3/24/1945,123.75,865 BS
USA,NEW GUINEA,GONA,-8.666666667,148.3333333,11/24/1942,148.3333333,13 BS
USA,CHINA,LOCHAI,24.53333333,109.5333333,4/18/1945,109.5333333,118 FS
AUSTRALIA,SOLOMON ISLANDS,KAHILI A/D SOUTH BOUGAINVILLE ISLAND,-6.787255,155.778638,11/12/1942,155.778638,11/20 SQ
USA,BURMA,NAMHKAM,22.0166667,97.75,6/5/1944,97.75,374 BS
USA,FRENCH INDO CHINA,TOURANE,16.13333333,108.1833333,2/26/1944,108.1833333,491 BS
USA,SOLOMON ISLANDS,BOUGAINVILLE,-6.2,155.25,5/31/1944,155.25,13 C
USA,NEW GUINEA,MUSHU ISLAND,-3.416666667,143.5833333,5/27/1944,143.5833333,36 FS
USA,CELEBES ISLANDS,HALMAHERA,1,128,12/22/1944,128,42 BG
USA,CHINA,HENGYANG,26.93333333,112.5833333,7/4/1944,112.5833333,75 FS
USA,SOLOMON ISLANDS,BUKA,-5.416666667,154.7,1/27/1944,154.7,390 BS
USA,NEW GUINEA,SORIDO,-1.166666667,136.0833333,6/8/1944,136.0833333,65 BS
USA,CAROLINE ISLANDS,WOLEAI ISLAND,7.366666667,143.9166667,5/15/1944,143.9166667,23 BS
NEW ZEALAND,NEW IRELAND,KAVIENG SWEEP,-2.583333333,150.8333333,4/24/1945,150.8333333,NO. 23 SQUADRON RNZAF
USA,CELEBES ISLANDS,KAIBOBO,-3.2,128.1666667,2/10/1945,128.1666667,42 BG
USA,NEW GUINEA,POTSOAM HARBOR,-4.25,145,5/2/1944,145,69 FS
USA,NEW GUINEA,BIAK,-1,136,6/13/1944,136,89 S
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,5/19/1944,143.6666667,5 C
USA,BISMARK ARCHIPELAGO,VUNAPOPE,-4.333333333,150.3333333,6/27/1944,150.3333333,100 BS
USA,PHILIPPINE ISLANDS,BATAAN,13.66666667,121.4166667,2/13/1945,121.4166667,672 S
USA,NEW GUINEA,BIAK I,-1,136,5/6/1944,136,31 BS
USA,CELEBES ISLANDS,PREPARE,-3.95,119.9,4/14/1945,119.9,868 BS
USA,CHINA,YULIN,22.63333333,110.1333333,7/29/1944,110.1333333,22 BS
USA,PHILIPPINE ISLANDS,MAGAPIT,18.11666667,121.6833333,3/22/1945,121.6833333,39 FS
USA,BURMA,MYITSON,21.433333,96.466667,2/16/1945,96.466667,90 FS
USA,FRENCH INDO CHINA,MON CAY,21.53333333,107.9666667,5/2/1944,107.9666667,26 FS
USA,FORMOSA AND RYUKYU ISLANDS,OKAYAMA,22.8,120.3,3/28/1945,120.3,531 BS
USA,CAROLINE ISLANDS,DUBLON ISLAND,7.383333333,151.8833333,6/19/1944,151.8833333,424 BS
USA,VOLCANO AND BONIN ISLANDS,IWO JIMA,24.78333333,141.3166667,11/19/1944,141.3166667,26 BS
USA,CHINA,SUNG PAI,26.65,112.6,9/27/1944,112.6,76 FS
USA,JAVA,DILI,-8.583333333,125.5,1/24/1943,125.5,320 BS
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,5/24/1944,143.6666667,673 S
USA,PHILIPPINE ISLANDS,IPO,14.83333333,121.1666667,6/5/1945,121.1666667,80 FS
USA,NEW GUINEA,SAWAR,-1.916666667,138.75,10/5/1944,138.75,13 S
USA,CHINA,HSIANGYUENHSIEN,36.46666667,113.3333333,10/30/1944,113.3333333,76 FS
USA,CELEBES ISLANDS,NAMLEA,-3.266666667,127.1,1/13/1945,127.1,42 BG
USA,BURMA,MYITNGE AA POSITION,21.85,96.06666667,3/18/1943,96.06666667,IATF (490 BS)
USA,BORNEO,SANDAKAN,5.833333333,118.0833333,4/18/1945,118.0833333,68 FS
USA,TUNISIA,ARRAM,33.59,10.31,2/27/1943,10.31,12 BG
USA,CELEBES ISLANDS,LANGOAN,1.15,124.8166667,10/10/1944,124.8166667,408 BS
USA,CHINA,SINYANG,32.15,114.1333333,5/31/1945,114.1333333,92 FS
