COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,LONGITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
GREAT BRITAIN,GERMANY,MUNSTER,50.13,8.46,5/15/1941,CITY AREA,2
USA,CZECHOSLOVAKIA,PILSEN,49.75,13.37,12/9/1944,SKODA ARMS WORKS,20
USA,GERMANY,LECHFELD,48.17,10.87,9/12/1944,AIRDROME,78
USA,AUSTRIA,ST VEIT,46.75,14.37,3/22/1945,INDUSTRIAL AREA,9
USA,ITALY,COMISO,36.93,14.6,7/3/1943,AIRDROME,78
GREAT BRITAIN,GERMANY,BERLIN,52.53,13.42,10/23/1940,MARSHALLING YARD,63
GREAT BRITAIN,GERMANY,DORSTEN,51.65,6.97,3/10/1942,CITY AREA,2
USA,HUNGARY,PETFURDO,47.22,17.58,6/14/1944,OIL REFINERY,50
GREAT BRITAIN,GERMANY,BERLIN,52.53,13.42,9/23/1940,CANAL BRIDGE,61
GREAT BRITAIN,GERMANY,KASSEL,51.32,9.47,3/30/1944,CITY AREA,2
USA,ITALY,NAPLES,40.67,14,1/26/1943,HARBOR SHIPPING,73
GREAT BRITAIN,FRANCE,BOULOGNE,46.79,-1.32,9/24/1940,DOCKS,71
USA,ITALY,PERUGIA,43.12,12.38,3/28/1944,R R BRIDGE,61
GREAT BRITAIN,FRANCE,CLERMONT,49.38,2.42,3/16/1944,RUBBER TIRE FACTORY,47
USA,GERMANY,BERNKASTEL,49.9,7.08,3/2/1945,BDGE,61
USA,FRANCE,PARIS,48.77,2.2,4/4/1943,RENAULT ARMAMENT WORKS,20
GREAT BRITAIN,FRANCE,MARQUISE,50.8,1.7,8/18/1941,AMMUNITION PLANT,23
GREAT BRITAIN,ITALY,TURIN,45.07,7.68,10/20/1942,CITY AREA,2
USA,ITALY,ROCCA PRIORA,43.63,13.37,5/31/1944,FUEL DUMP,83
GREAT BRITAIN,HOLLAND OR NETHERLANDS,DEN HELDER,52.97,4.77,11/17/1940,DDCKS CANALS BARGES,71
GREAT BRITAIN,GERMANY,RHEINE,52.3,7.43,6/17/1941,CITY AREA,2
GREAT BRITAIN,GERMANY,COLOGNE,50.93,6.95,6/17/1941,CITY AREA,2
GREAT BRITAIN,FRANCE,LE HAVRE,49.5,6,10/15/1940,INNER DOCKS,71
USA,GERMANY,BERLIN,52.53,13.42,12/5/1944,TEGEL TANK PLANT,21
GREAT BRITAIN,GERMANY,EBERSWALDE,52.83,13.82,9/7/1941,TOWN AREA,2
GREAT BRITAIN,GERMANY,HAMBURG,53.55,10,11/15/1940,OIL REFINERY,51
GREAT BRITAIN,GERMANY,EMMERICH,51.82,6.25,8/25/1944,CITY AREA,2
USA,TUNISIA,DJ EDEIDA,36.83,9.92,5/6/1943,HWY,65
GREAT BRITAIN,GERMANY,OSNABRUCK,52.28,8.05,11/5/1940,CITY AREA,2
USA,ITALY,FICULLE,42.83,12.07,6/10/1944,R R BRIDGE,61
USA,PANTELLARIA,PANTELLERIA,36.75,12,5/31/1943,GUN EMPLACEMENTS,82
GREAT BRITAIN,FRANCE,BOURGES,47.08,2.38,8/11/1941,AD,78
USA,AUSTRIA,VIENNA,48.2,16.37,3/12/1945,MARSHALLING YARDS,63
GREAT BRITAIN,GERMANY,KIEL,54.33,10.15,3/28/1942,CITY AREA,2
GREAT BRITAIN,GERMANY,BRANDENBURG,52.4,12.52,12/2/1943,CITY AREA,2
GREAT BRITAIN,FRANCE,BOULOGNE,46.79,-1.32,6/23/1941,DOCKS,71
GREAT BRITAIN,FRANCE,ST BRIEUC,48.52,-2.77,9/27/1940,DOCKS BARGES SHIPPING,71
GREAT BRITAIN,GERMANY,BONN,50.73,7.07,10/11/1944,CITY AREA,2
GREAT BRITAIN,GERMANY,COLOGNE,50.93,6.95,8/4/1943,CITY AREA,2
GREAT BRITAIN,FRANCE,VANNES,47.72,2.22,3/26/1942,AIRDROME,78
GREAT BRITAIN,FRANCE,CHAPELINE NOTRE DAME,,,7/20/1944,TOWN AREA,2
USA,FRANCE,PONTDUBAULT,48.63,-1.37,6/6/1944,RAILROAD JUNCTION,63
USA,ITALY,UNKNOWN,,,2/21/1945,ROAD,65
